Transaction_date,Transaction_ID,Gender,Age,Marital_status,State_names,Segment,Employees_status,Payment_method,Referal,Amount_spent
01-01-2019,151200,Female,19,Single,Kansas,Basic,Unemployment,Other,1,2051.36
02-01-2019,151201,Male,49,Single,Illinois,Basic,self-employed,Card,0,544.04
03-01-2019,151202,Male,63,Married,New Mexico,Basic,workers,PayPal,1,1572.6
04-01-2019,151203,,18,Single,Virginia,Platinum,workers,Card,1,1199.79
05-01-2019,151204,Male,27,Single,Connecticut,Basic,self-employed,Card,0,
06-01-2019,151205,Male,71,Single,Hawaii,Basic,Employees,PayPal,1,2922.66
07-01-2019,151206,Female,34,Married,New Mexico,Platinum,Employees,PayPal,1,1481.42
08-01-2019,151207,Male,37,Married,Connecticut,Basic,workers,PayPal,1,1149.55
09-01-2019,151208,Male,75,Married,Florida,Silver,Employees,Card,0,1046.2
10-01-2019,151209,Female,41,Married,Vermont,Gold,Unemployment,Card,1,2730.6
11-01-2019,151210,Female,56,Married,California,Basic,Employees,PayPal,0,1712.82
12-01-2019,151211,Female,63,Married,Colorado,Basic,workers,Other,1,154.31
13-01-2019,151212,Female,60,Married,Iowa,Basic,self-employed,Card,1,819.08
14-01-2019,151213,Male,47,Single,South Carolina,Basic,Employees,PayPal,1,1719.83
15-01-2019,151214,Male,24,Married,Colorado,Platinum,self-employed,Other,1,954.12
16-01-2019,151215,Male,16,Single,New York,Platinum,workers,Other,1,1005.92
17-01-2019,151216,Female,72,Married,Maine,Silver,self-employed,PayPal,1,2882.77
18-01-2019,151217,Female,77,Married,New Mexico,Platinum,workers,Card,0,2999.98
19-01-2019,151218,Male,42,Married,Maryland,Basic,self-employed,Other,0,1902.73
20-01-2019,151219,Female,46,Married,Missouri,Basic,Employees,Card,1,2968.95
21-01-2019,151220,Female,19,Married,Hawaii,Missing,workers,PayPal,0,
22-01-2019,151221,Male,42,Married,North Dakota,Silver,workers,PayPal,0,995.77
23-01-2019,151222,Female,50,Married,Ohio,Missing,workers,Card,0,719.13
24-01-2019,151223,Male,47,Single,Nebraska,Basic,self-employed,PayPal,1,2407.36
25-01-2019,151224,Female,32,Single,Montana,Basic,Employees,PayPal,0,2737.41
26-01-2019,151225,Male,25,Married,Indiana,Basic,self-employed,Other,1,1514.75
27-01-2019,151226,Male,33,Married,Wisconsin,Basic,self-employed,Card,1,293.58
28-01-2019,151227,Male,61,Married,Alabama,Platinum,workers,Card,1,1094.67
29-01-2019,151228,Male,75,Married,Alabama,Basic,self-employed,PayPal,1,233.05
30-01-2019,151229,Female,62,Married,Indiana,Silver,Employees,Other,1,
31-01-2019,151230,Male,17,Married,Maine,Basic,Employees,PayPal,1,
01-02-2019,151231,Female,21,Single,Montana,Basic,Employees,Card,0,2035.07
02-02-2019,151232,Male,39,Single,Arkansas,Basic,Employees,Other,0,128.29
03-02-2019,151233,Male,15,Married,Missouri,Gold,self-employed,Card,1,628.93
